"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2909","testPrivacyLinkIsVisible()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide123022.UserStory78SelenideTest","iscteiul.ista.blackbattleship.selenide123022.UserStory78SelenideTest","testPrivacyLinkIsVisible"
"","4242","testNavigationToPrivacyPolicy()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide123022.UserStory78SelenideTest","iscteiul.ista.blackbattleship.selenide123022.UserStory78SelenideTest","testNavigationToPrivacyPolicy"
"","2276","testPlayOnlineButtonIsVisible()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide123022.UserStory17SelenideTest","iscteiul.ista.blackbattleship.selenide123022.UserStory17SelenideTest","testPlayOnlineButtonIsVisible"
"","3759","testClickLeaderboardPlayer()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide123022.UserStory25SelenideTest","iscteiul.ista.blackbattleship.selenide123022.UserStory25SelenideTest","testClickLeaderboardPlayer"
"","4564","testPlayVsRobotWithNickname()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide123022.UserStory2SelenideTest","iscteiul.ista.blackbattleship.selenide123022.UserStory2SelenideTest","testPlayVsRobotWithNickname"
"","2304","testLeaderboardIsVisible()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide123022.UserStory25SelenideTest","iscteiul.ista.blackbattleship.selenide123022.UserStory25SelenideTest","testLeaderboardIsVisible"
"","2923","testClickPlayOnline()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide123022.UserStory17SelenideTest","iscteiul.ista.blackbattleship.selenide123022.UserStory17SelenideTest","testClickPlayOnline"
